User_ID,UTC_Time,Account,Operation,Coin,Change,Remark
141577691,6/20/2021 21:29,Spot,Transaction Related,USDT,-11.8299,
141577691,6/20/2021 21:31,Spot,Fee,BNB,-0.00002652,
141577691,6/20/2021 21:31,Spot,Buy,SNX,1.392,
141577691,6/20/2021 21:31,Spot,Transaction Related,USDT,-12.000432,
141577691,6/20/2021 21:41,Spot,Buy,USDT,11.8487,
141577691,6/20/2021 21:41,Spot,Fee,BNB,-0.00002625,
141577691,6/20/2021 21:41,Spot,Transaction Related,LPT,-0.47,
141577691,6/20/2021 21:52,Spot,Fee,BNB,-0.00002666,
141577691,6/20/2021 21:52,Spot,Buy,XLM,40.4,
141577691,6/20/2021 21:52,Spot,Transaction Related,USDT,-11.994356,
141577691,6/20/2021 22:05,Spot,Buy,LPT,0.47,
141577691,6/20/2021 22:05,Spot,Transaction Related,USDT,-11.8299,
141577691,6/20/2021 22:05,Spot,Fee,BNB,-0.00002619,
141577691,6/20/2021 22:09,Spot,Fee,BNB,-0.00002611,
141577691,6/20/2021 22:09,Spot,Buy,USDT,11.844,
141577691,6/20/2021 22:09,Spot,Transaction Related,LPT,-0.47,
141577691,6/20/2021 22:10,Spot,Transaction Related,XLM,-40.4,
141577691,6/20/2021 22:10,Spot,Fee,BNB,-0.00002655,
141577691,6/20/2021 22:10,Spot,Buy,USDT,12.017788,
141577691,6/20/2021 22:12,Spot,Fee,BNB,-0.00002615,
141577691,6/20/2021 22:12,Spot,Buy,LPT,0.47,
141577691,6/20/2021 22:12,Spot,Transaction Related,USDT,-11.8299,
141577691,6/20/2021 22:17,Spot,Fee,BNB,-0.0000265,
141577691,6/20/2021 22:17,Spot,Transaction Related,USDT,-11.979198,
141577691,6/20/2021 22:17,Spot,Buy,XLM,40.2,
141577691,6/20/2021 22:30,Spot,Transaction Related,LPT,-0.47,
141577691,6/20/2021 22:30,Spot,Buy,USDT,11.8534,
141577691,6/20/2021 22:30,Spot,Fee,BNB,-0.00002622,
141577691,6/20/2021 22:31,Spot,Fee,BNB,-0.00002648,
141577691,6/20/2021 22:31,Spot,Buy,USDT,11.983218,
141577691,6/20/2021 22:31,Spot,Transaction Related,XLM,-40.2,
141577691,6/20/2021 22:43,Spot,Buy,LPT,0.47,
141577691,6/20/2021 22:43,Spot,Fee,BNB,-0.00002619,
141577691,6/20/2021 22:43,Spot,Transaction Related,USDT,-11.8346,
141577691,6/20/2021 22:43,Spot,Buy,LPT,1.61,
141577691,6/20/2021 22:43,Spot,Fee,BNB,-0.00008941,
141577691,6/20/2021 22:43,Spot,Transaction Related,USDT,-40.5881,
141577691,6/20/2021 22:49,Spot,Buy,USDT,52.5408,
141577691,6/20/2021 22:49,Spot,Fee,BNB,-0.00011625,
141577691,6/20/2021 22:49,Spot,Transaction Related,LPT,-2.08,
141577691,6/20/2021 22:51,Spot,Buy,LPT,0.47,
141577691,6/20/2021 22:51,Spot,Fee,BNB,-0.00002619,
141577691,6/20/2021 22:51,Spot,Transaction Related,USDT,-11.844,
141577691,6/20/2021 22:55,Spot,Fee,BNB,-0.0000896,
141577691,6/20/2021 22:55,Spot,Buy,LPT,1.61,
141577691,6/20/2021 22:55,Spot,Transaction Related,USDT,-40.6364,
141577691,6/20/2021 22:56,Spot,Buy,USDT,11.8722,
141577691,6/20/2021 22:56,Spot,Fee,BNB,-0.00002621,
141577691,6/20/2021 22:56,Spot,Transaction Related,LPT,-0.47,
141577691,6/20/2021 23:17,Spot,Buy,USDT,40.7169,
